                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 1.6071,                 2.1218,                 1.6626,                0.43754,                0.49143,                0.45378,                0.39615,                 1.7545,                 2.1652,                 1.8006,             0.00064803,             0.00064803,             0.00064803
                     31,                 1.5979,                 2.1168,                 1.6585,                0.48688,                0.49268,                0.46987,                0.41703,                 1.7483,                 2.0654,                 1.7864,             0.00063903,             0.00063903,             0.00063903
                     32,                 1.5937,                 2.1014,                 1.6491,                0.46818,                0.45926,                0.45127,                0.38293,                 1.9053,                 2.2631,                  1.875,             0.00063003,             0.00063003,             0.00063003
                     33,                 1.5768,                 2.0903,                 1.6381,                0.47269,                0.48042,                0.46746,                0.41587,                 1.7415,                 2.0613,                 1.7749,             0.00062103,             0.00062103,             0.00062103
                     34,                 1.5812,                 2.0868,                 1.6394,                 0.4648,                0.51278,                0.48757,                0.43817,                 1.7185,                  2.024,                 1.7799,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.5752,                  2.072,                 1.6253,                  0.506,                0.46338,                0.48037,                0.42712,                 1.7725,                 2.1348,                 1.8113,             0.00060303,             0.00060303,             0.00060303
                     36,                  1.579,                 2.0689,                 1.6335,                0.48351,                0.48973,                0.48603,                 0.4216,                 1.7261,                 2.0565,                 1.7615,             0.00059403,             0.00059403,             0.00059403
                     37,                 1.5739,                 2.0597,                 1.6305,                0.51708,                0.48277,                0.49803,                0.44511,                 1.6945,                 2.0358,                 1.7748,             0.00058503,             0.00058503,             0.00058503
                     38,                 1.5515,                 2.0439,                  1.613,                0.50328,                0.47948,                0.49494,                0.44322,                 1.7282,                 2.0071,                 1.7692,             0.00057603,             0.00057603,             0.00057603
                     39,                 1.5611,                 2.0079,                 1.6112,                0.51116,                0.49388,                0.48476,                0.43502,                 1.7591,                 2.0356,                 1.8024,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.5418,                  2.019,                 1.6227,                0.50945,                0.49719,                0.49313,                 0.4437,                 1.7047,                 1.9594,                 1.7487,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.5421,                 2.0084,                 1.5979,                0.47832,                 0.5304,                0.50978,                0.45741,                  1.706,                 1.9436,                 1.7532,             0.00054904,             0.00054904,             0.00054904
                     42,                  1.543,                 1.9837,                 1.6059,                0.50485,                0.52946,                0.52418,                0.46642,                 1.7107,                 1.9398,                 1.7648,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.5595,                 1.9914,                 1.6091,                0.50293,                0.48465,                0.48922,                0.43739,                 1.7398,                 2.0094,                  1.783,             0.00053104,             0.00053104,             0.00053104
                     44,                 1.5312,                 1.9725,                 1.5996,                0.53679,                0.51008,                0.51223,                0.46388,                 1.6766,                 1.9351,                 1.7326,             0.00052204,             0.00052204,             0.00052204
                      1,                 4.1134,                 4.6921,                 4.1522,                0.00363,                0.44215,                0.02315,                0.00838,                 4.3011,                 4.1659,                 4.0702,              0.0033036,              0.0033036,              0.0033036
                      2,                 3.4182,                 4.0843,                 3.5613,                0.63371,                 0.0716,                0.04861,                0.02104,                 3.2671,                 3.5998,                 3.2916,               0.006615,               0.006615,               0.006615
                      3,                 2.6861,                 3.6921,                 2.9368,                0.32037,                0.17053,                0.04417,                0.02303,                 2.8916,                 5.2329,                 3.0878,              0.0099044,              0.0099044,              0.0099044
                      4,                 2.3004,                 3.3971,                 2.5114,                0.42375,                0.15713,                0.09287,                0.05548,                 2.6126,                 4.7871,                 2.7707,               0.009901,               0.009901,               0.009901
                      5,                  2.096,                 3.1515,                  2.256,                0.88023,                0.08247,                 0.1086,                0.07415,                 2.5665,                 4.2844,                 2.9066,               0.009868,               0.009868,               0.009868
