                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.5935,                 2.1325,                 1.6646,                0.40019,                0.42889,                0.37121,                0.32501,                 1.8781,                  2.502,                 1.9549,                0.00901,                0.00901,                0.00901
                     32,                 1.5799,                 2.1246,                 1.6523,                0.48307,                0.45961,                0.45238,                  0.396,                 1.7947,                 2.1999,                 1.8472,               0.008977,               0.008977,               0.008977
                     33,                 1.5755,                  2.112,                 1.6427,                0.48177,                0.45458,                0.46847,                0.41272,                 1.7157,                 2.1653,                 1.8183,               0.008944,               0.008944,               0.008944
                     34,                  1.579,                 2.1153,                 1.6482,                0.40963,                0.44963,                0.44302,                0.39583,                 1.8412,                 2.1496,                 1.9104,               0.008911,               0.008911,               0.008911
                     35,                 1.5584,                 2.0983,                 1.6311,                0.42524,                0.41296,                0.36319,                 0.3114,                 1.8342,                 2.5233,                 1.8978,               0.008878,               0.008878,               0.008878
                     36,                 1.5614,                 2.0801,                 1.6352,                0.51961,                0.46964,                0.48762,                 0.4332,                 1.7297,                  2.136,                 1.8149,               0.008845,               0.008845,               0.008845
                     37,                 1.5768,                 2.0783,                 1.6405,                0.55836,                0.47098,                0.48603,                0.42976,                 1.7239,                 2.0329,                 1.8244,               0.008812,               0.008812,               0.008812
                     38,                 1.5376,                 2.0682,                 1.6218,                0.50536,                0.46538,                0.49125,                0.44064,                 1.7062,                 2.0412,                 1.8069,               0.008779,               0.008779,               0.008779
                     39,                  1.557,                 2.0346,                 1.6255,                0.51046,                0.46939,                0.48204,                0.43318,                 1.7359,                 2.0472,                 1.8416,               0.008746,               0.008746,               0.008746
                     40,                 1.5361,                 2.0341,                   1.63,                 0.5202,                0.47386,                 0.4905,                0.44823,                 1.6846,                 1.9611,                 1.8013,               0.008713,               0.008713,               0.008713
                     41,                 1.5452,                 2.0307,                 1.6139,                0.48156,                0.49327,                0.47222,                0.41785,                 1.7785,                 2.0937,                 1.8822,                0.00868,                0.00868,                0.00868
                     42,                  1.539,                  2.009,                 1.6131,                0.51889,                0.48441,                0.51599,                0.45595,                 1.7238,                 2.0037,                 1.8018,               0.008647,               0.008647,               0.008647
                     43,                 1.5511,                 2.0194,                 1.6189,                0.34216,                0.35318,                0.26793,                0.21196,                 2.0567,                 3.0221,                 2.0728,               0.008614,               0.008614,               0.008614
                     44,                  1.531,                 1.9924,                 1.6102,                0.50683,                0.45736,                0.46136,                0.40352,                 1.7821,                 2.1311,                 1.8534,               0.008581,               0.008581,               0.008581
                     45,                 1.5089,                 1.9686,                 1.6021,                0.53763,                0.50076,                0.50717,                0.45298,                 1.7285,                 1.9417,                 1.8107,               0.008548,               0.008548,               0.008548
                     46,                   1.53,                 1.9785,                 1.6006,                0.52017,                 0.4604,                0.45995,                0.40779,                 1.7381,                 2.0799,                 1.8476,               0.008515,               0.008515,               0.008515
                     47,                 1.5182,                 1.9813,                 1.5986,                0.36149,                0.39575,                0.32351,                0.27646,                 1.9058,                 2.7864,                 1.9747,               0.008482,               0.008482,               0.008482
                     48,                  1.507,                  1.952,                 1.5916,                0.50993,                0.48386,                0.49022,                0.43376,                 1.7499,                 1.9771,                 1.8265,               0.008449,               0.008449,               0.008449
                     49,                 1.5265,                 1.9513,                 1.6028,                0.55141,                 0.4973,                0.52987,                0.48116,                 1.6913,                 1.8881,                 1.7882,               0.008416,               0.008416,               0.008416
                     50,                  1.516,                 1.9303,                 1.5915,                0.53352,                0.46548,                0.47168,                0.40956,                 1.7625,                 2.0346,                 1.8374,               0.008383,               0.008383,               0.008383
                     51,                 1.5215,                 1.9366,                  1.592,                0.54358,                0.52293,                0.51419,                0.46722,                 1.7094,                 1.9044,                 1.8232,                0.00835,                0.00835,                0.00835
                     52,                 1.5102,                  1.944,                 1.5929,                0.57415,                 0.5038,                 0.5143,                0.46412,                 1.6957,                 1.9219,                 1.8117,               0.008317,               0.008317,               0.008317
                     53,                 1.5028,                 1.9164,                 1.5883,                0.49997,                0.51904,                0.52422,                0.46443,                  1.713,                  1.917,                 1.8017,               0.008284,               0.008284,               0.008284
                     54,                 1.4948,                 1.9181,                 1.5782,                0.52276,                0.51781,                0.51234,                0.46043,                 1.7183,                 1.9494,                  1.815,               0.008251,               0.008251,               0.008251
                     55,                 1.5191,                 1.9328,                 1.5922,                0.28673,                0.37477,                 0.2804,                0.22421,                 2.0677,                 3.1202,                 2.1129,               0.008218,               0.008218,               0.008218
                     56,                 1.4964,                 1.9088,                 1.5799,                0.53957,                0.52742,                0.54786,                0.49747,                  1.676,                 1.8544,                 1.7898,               0.008185,               0.008185,               0.008185
                     57,                 1.4993,                 1.8947,                 1.5766,                0.57592,                 0.5211,                0.55753,                0.50259,                 1.6879,                 1.8753,                  1.779,               0.008152,               0.008152,               0.008152
                     58,                 1.4851,                  1.866,                 1.5606,                0.54709,                0.49908,                0.53807,                0.48361,                 1.7204,                 1.8667,                 1.7835,               0.008119,               0.008119,               0.008119
                     59,                 1.4981,                 1.8794,                 1.5713,                0.48813,                0.45418,                0.44796,                  0.391,                 1.7487,                 2.1441,                  1.827,               0.008086,               0.008086,               0.008086
                     60,                 1.4894,                 1.8524,                 1.5685,                0.53841,                0.53154,                0.52036,                0.47204,                 1.7008,                 1.8687,                 1.7859,               0.008053,               0.008053,               0.008053
                     61,                 1.4738,                 1.8768,                 1.5631,                0.53971,                0.50324,                0.50309,                0.44613,                 1.7371,                 1.9402,                 1.8103,                0.00802,                0.00802,                0.00802
                     62,                 1.4874,                 1.8725,                 1.5663,                0.57141,                0.50669,                0.54504,                0.49362,                 1.6761,                 1.8343,                 1.7849,               0.007987,               0.007987,               0.007987
                     63,                 1.4792,                   1.87,                 1.5583,                0.53693,                0.54878,                0.54331,                0.48703,                 1.6832,                 1.8335,                 1.7631,               0.007954,               0.007954,               0.007954
                     64,                 1.4699,                 1.8442,                 1.5496,                  0.557,                0.54244,                0.56094,                0.50486,                  1.679,                 1.7827,                 1.7571,               0.007921,               0.007921,               0.007921
                     65,                  1.474,                 1.8508,                 1.5569,                0.51216,                0.53271,                0.51853,                0.47021,                 1.6883,                 1.8538,                 1.7894,               0.007888,               0.007888,               0.007888
                     66,                 1.4848,                  1.832,                 1.5624,                0.59087,                 0.5389,                0.56371,                0.51035,                 1.6652,                  1.799,                 1.7609,               0.007855,               0.007855,               0.007855
                     67,                 1.4687,                 1.8107,                 1.5477,                0.57116,                0.56973,                0.57338,                0.51782,                 1.6514,                 1.7613,                  1.755,               0.007822,               0.007822,               0.007822
                     68,                 1.4664,                 1.8043,                 1.5508,                0.56005,                0.55264,                0.54357,                0.49602,                 1.6327,                 1.7606,                 1.7466,               0.007789,               0.007789,               0.007789
                     69,                 1.4621,                 1.8145,                 1.5524,                0.59266,                0.56268,                 0.5813,                 0.5277,                 1.6482,                  1.739,                 1.7541,               0.007756,               0.007756,               0.007756
                     70,                 1.4578,                 1.8015,                 1.5485,                0.58759,                0.52761,                0.55358,                0.49965,                 1.6684,                 1.8575,                 1.7679,               0.007723,               0.007723,               0.007723
                     71,                 1.4556,                 1.7821,                 1.5323,                0.63728,                0.51328,                0.58478,                0.52951,                 1.6515,                 1.7099,                 1.7643,                0.00769,                0.00769,                0.00769
                     72,                 1.4608,                 1.7932,                 1.5495,                0.57567,                0.54603,                0.56751,                0.51288,                 1.6673,                 1.7864,                 1.7684,               0.007657,               0.007657,               0.007657
                     73,                 1.4604,                 1.7993,                 1.5398,                 0.5463,                 0.5573,                0.54643,                0.49735,                 1.6466,                 1.7579,                  1.734,               0.007624,               0.007624,               0.007624
                     74,                  1.447,                  1.771,                 1.5345,                0.54808,                0.55145,                 0.5663,                0.51143,                 1.6678,                 1.7664,                  1.741,               0.007591,               0.007591,               0.007591
                     75,                 1.4676,                 1.7842,                 1.5471,                0.57061,                0.53687,                0.54148,                0.48882,                 1.6425,                 1.7666,                  1.759,               0.007558,               0.007558,               0.007558
                     76,                 1.4576,                 1.7765,                 1.5357,                0.55627,                0.54344,                0.56357,                0.51678,                  1.643,                  1.745,                 1.7395,               0.007525,               0.007525,               0.007525
                     77,                 1.4557,                 1.7833,                 1.5404,                0.58999,                0.56965,                0.58711,                0.53733,                 1.6158,                 1.6803,                 1.7258,               0.007492,               0.007492,               0.007492
                     78,                 1.4441,                 1.7592,                 1.5306,                0.58143,                0.56812,                0.56787,                0.51574,                 1.6152,                 1.7394,                 1.7379,               0.007459,               0.007459,               0.007459
                     79,                 1.4475,                 1.7593,                 1.5273,                0.59937,                0.58892,                0.59122,                0.52867,                 1.6516,                 1.6889,                 1.7473,               0.007426,               0.007426,               0.007426
                     80,                 1.4285,                 1.7481,                 1.5257,                0.57956,                0.58393,                  0.583,                0.53008,                 1.6255,                 1.7215,                  1.724,               0.007393,               0.007393,               0.007393
                     81,                 1.4255,                 1.7438,                 1.5188,                0.58328,                0.60126,                 0.5896,                0.53479,                 1.6681,                  1.719,                 1.7437,                0.00736,                0.00736,                0.00736
                     82,                 1.4352,                 1.7487,                 1.5223,                0.55701,                0.58407,                 0.5873,                0.53118,                 1.6317,                 1.7068,                 1.7302,               0.007327,               0.007327,               0.007327
                     83,                  1.433,                 1.7227,                 1.5216,                0.52131,                0.51667,                0.49383,                0.43929,                 1.6495,                  1.884,                 1.7373,               0.007294,               0.007294,               0.007294
                     84,                 1.4281,                 1.7269,                  1.512,                0.58463,                 0.5919,                0.58957,                0.53546,                 1.6818,                 1.7271,                 1.7508,               0.007261,               0.007261,               0.007261
